datasetkey	datasetname	publisher	COUNT(*)
e3ce628e-9683-4af7-b7a9-47eef785d3bb		Questagame	17
040c5662-da76-4782-a48e-cdea1892d14c		The International Barcode of Life Consortium	15
df12ca07-f133-4550-ab3b-fde13f0e76ba	Notebook, general observations	Finnish Biodiversity Information Facility	15
7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1		Cornell Lab of Ornithology	15
9fd8e0a3-5df0-4125-9643-58ca6bc52cb7		Museon	14
854cf79e-f762-11e1-a439-00145eb45e9a		Yale University Peabody Museum	13
96c93a1e-f762-11e1-a439-00145eb45e9a		American Museum of Natural History	12
e3b959d6-fcbe-4a28-a166-e4a807c340a0		Museum of Vertebrate Zoology	12
4bfac3ea-8763-4f4b-a71a-76a6f5f243d3		Museum of Comparative Zoology, Harvard University	12
cb6e66f1-3056-404d-a341-bb856762c57c	Minu loodusheli	PlutoF	11
962f59bc-f762-11e1-a439-00145eb45e9a	Vullendonéen Lëtzebuerg	National Museum of Natural History, Luxembourg	11
62e99340-528c-4baf-bbd7-bf0df2f186b9	General recording - MNHNL Data Portal	National Museum of Natural History, Luxembourg	10
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Boutersem TGV	Paleobiology Database	10
84829fe4-f762-11e1-a439-00145eb45e9a		Louisiana State University Museum of Natural Science	9
427a6290-0c65-11dd-84d2-b8a03c50a862		Lund University Biological Museum	9
1d5b6d93-00b2-4bbe-9574-a78c8ed9d718		Leibniz Institute for the Analysis of Biodiversity Change (LIB)	8
25e3e8f1-86ee-440c-adfc-8e63759a6505		UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	8
fa375330-6c8a-11de-8226-b8a03c50a862		South Australian Museum	8
e6c97f6e-e952-11e2-961f-00145eb45e9a		Museum für Naturkunde Berlin	7
3e138a5b-bc84-4ef5-bdc8-57dcc4efa40c	Bird skins from (UN) Western Europe in the collections of World Museum, National Museums Liverpool	World Museum, National Museums Liverpool	7
96678e90-f762-11e1-a439-00145eb45e9a		Senckenberg	7
66178162-01dc-4133-9b3c-83265481c383	TestWat: Flanders freshwater bodies; macroinvertebrates and macrophytes	Research Institute for Nature and Forest (INBO)	7
e51b8857-2ad1-4701-a276-f0cd1f4cc6a5		Instituto de Investigación de Recursos Biológicos Alexander von Humboldt	7
b89dcfd3-e410-4b40-907c-2348cd748060	Aves (Luomus)	Finnish Museum of Natural History - Zoology Unit	6
77711782-d6c0-4b82-9772-3f6f181add46	Royal Ontario Museum Ornithology (ROMO)	Royal Ontario Museum	6
66df9620-115a-4794-be25-3a5b99786b1d		Florida Museum of Natural History	6
843df0c4-f762-11e1-a439-00145eb45e9a		Canadian Biodiversity Information Facility	6
fe28c4f1-7229-43b4-8f37-3fb406635d4d		Leibniz Institute for the Analysis of Biodiversity Change (LIB)	6
84056f27-5b61-4212-9c61-475b3c5499e5		Flanders Marine Institute	6
962f59bc-f762-11e1-a439-00145eb45e9a	Vogeldaten_import	National Museum of Natural History, Luxembourg	6
962f59bc-f762-11e1-a439-00145eb45e9a	PBEPT Steinfort	National Museum of Natural History, Luxembourg	6
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Hoogbutsel	Paleobiology Database	6
4f29b6ab-20c0-4479-8795-4915bedcebd1		California Academy of Sciences	5
04169fce-7d4f-41f7-9dff-245960f5b59e		University of Iowa Museum of Natural History	5
